ID,Title,Content,Excerpt,"Post Type",Permalink,"Image Featured",Modalidades,eyebrow_heading_secao_1,headline_secao_1,subheading_secao_1,imagem_secao_2,eyebrow_heading_secao_2,headline_secao_2,subheading_secao_2,texto_longo_secao_2,imagem_secao_3,eyebrow_heading_secao_3,headline_secao_3,subheading_secao_3,texto_longo_secao_3,imagem_secao_4,eyebrow_heading_secao_4,headline_secao_4,subheading_secao_4
1774,Acordeon,,"Expressivo, versátil e cheio de personalidade, o acordeon está presente em diversos estilos da música brasileira e do mundo. ",curso,https://anacamusica.com.br/curso/acordeon/,https://anacamusica.com.br/wp-content/uploads/2026/01/Acordeon.webp,Teclas,"som e expressão","personalidade, emoção e presença","Som que ocupa espaço",1802,"som em movimento","A linguagem musical do acordeon","O acordeon é um instrumento cheio de personalidade, emoção e presença.","Muito associado à música popular brasileira, ao forró, ao jazz, ao tango e a diversos estilos regionais do mundo, ele é extremamente versátil e expressivo, podendo atuar tanto como instrumento solo quanto em grupos e formações variadas.

Além do som marcante, o acordeon é um instrumento completo: nele o aluno desenvolve coordenação entre as mãos, percepção rítmica, harmonia e melodia ao mesmo tempo. É uma excelente forma de compreender a música de maneira integrada, sentindo o som “respirar” junto com o corpo.",,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas de acordeon são pensadas para desenvolver técnica, coordenação, repertório e expressão musical, sempre a partir das músicas que fazem sentido para o aluno. A construção de repertório é parte essencial do processo, pois tocar músicas reais é uma das maiores fontes de motivação e evolução.",,"Mais do que aprender um instrumento,","tocar acordeon no Anacã é viver a música  de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1820,Baixo,,"O baixo é a base da música, conectando ritmo e harmonia em diversos estilos.",curso,https://anacamusica.com.br/curso/baixo/,https://anacamusica.com.br/wp-content/uploads/2026/01/Baixo-1.webp,Cordas,"base da música","harmonia, groove e ritmo","corpo do som",2003,"som em movimento","A linguagem musical do baixo","O baixo é a base da música. Presente em praticamente todos os estilos musicais.","Ele é o instrumento responsável por sustentar a harmonia, criar o groove e conectar o ritmo à melodia. Seja no pop, no rock, no jazz, no funk, no samba ou na música brasileira, o baixo é essencial para dar identidade e corpo ao som.

Tocar baixo desenvolve percepção rítmica, escuta musical e senso de conjunto. É um instrumento que estimula a conexão com a banda e com a música como um todo, ajudando o aluno a entender como cada elemento se encaixa dentro de uma formação musical.",2007,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas de baixo são pensadas para desenvolver técnica, groove, leitura, harmonia e repertório, sempre a partir das músicas que fazem sentido para o aluno. A construção de repertório é parte fundamental do processo, pois tocar músicas reais fortalece a musicalidade e a confiança no instrumento.

Mais do que aprender um instrumento, tocar baixo no Anacã é aprender a ouvir, sentir e sustentar a música, respeitando o tempo de cada um e valorizando o prazer de tocar.",2009,"Mais do que aprender um instrumento,","tocar baixo no Anacã é viver a música  de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1872,Bateria,,"A bateria é o coração do ritmo. As aulas desenvolvem coordenação, percepção rítmica e musicalidade, explorando grooves e dinâmicas de forma prática e conectada a músicas reais.",curso,https://anacamusica.com.br/curso/bateria/,https://anacamusica.com.br/wp-content/uploads/2026/01/Bateria-1.webp,Percussão,"coração do rítmo","tempo, dinâmica e energia","Som que ocupa espaço",2015,"som em movimento","A linguagem musical da bateria","Presente em diversos estilos musicais, ela é responsável por conduzir o tempo, criar dinâmica e dar energia à música.","Do rock ao jazz, do pop ao funk, da música brasileira aos estilos contemporâneos, a bateria é fundamental para o pulso e a identidade de uma banda. 

Estudar bateria desenvolve coordenação motora, concentração, percepção rítmica e escuta musical. É um instrumento que trabalha o corpo inteiro e estimula a expressão, permitindo que o aluno explore diferentes sons, grooves e formas de tocar. ",2011,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica. 

Nas aulas de bateria, o foco está no desenvolvimento do ritmo, da coordenação e da consciência musical, explorando grooves, levadas e diferentes dinâmicas do instrumento. O aprendizado acontece a partir de músicas escolhidas em conjunto, permitindo que o aluno experimente a bateria em contextos reais e construa segurança ao tocar. 

Tocar bateria no Anacã vai além da técnica: é experimentar o ritmo no corpo, entender o papel do instrumento dentro da música e encontrar uma forma própria de se expressar. Tudo isso em um ambiente que respeita o tempo de cada aluno e valoriza uma relação leve e prazerosa com a música.",2012,"Mais do que aprender um instrumento,","tocar bateria no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1877,Canto,,"A voz é um instrumento único e expressivo. No Anacã, o canto é trabalhado com foco em técnica vocal, respiração, interpretação e repertório, respeitando a identidade e o tempo de cada aluno.",curso,https://anacamusica.com.br/curso/canto/,https://anacamusica.com.br/wp-content/uploads/2026/01/CANTO-CLAUDINHA-1.webp,Canto,"único e expressivo","identidade, emoção e intenção","Som autêntico",2017,"som em movimento","A linguagem musical do canto","O canto é a forma mais direta e pessoal de fazer música.","A voz carrega identidade, emoção e intenção, sendo um instrumento único em cada pessoa. Presente em todos os estilos musicais, ela permite que o aluno se expresse de maneira autêntica, conectando corpo, respiração e emoção.

Ao contrário do que muitos pensam, cantar não é um dom: é prática, estudo e construção. A voz é um instrumento que pode — e deve — ser trabalhado, desenvolvido e fortalecido ao longo do tempo, respeitando as características e o momento de cada aluno.",2048,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

O canto é um dos carros-chefe do Anacã Música. Contamos com professores de diferentes estilos musicais e abordagens vocais, o que permite ao aluno explorar repertórios variados e desenvolver sua voz de forma ampla e consistente.

As aulas de canto trabalham técnica vocal, respiração, projeção, afinação e interpretação, sempre a partir de músicas que fazem sentido para o aluno. O repertório é construído de forma gradual, permitindo que a técnica evolua junto com a expressividade e a segurança ao cantar.

Mais do que aprender a cantar, o canto no Anacã é um espaço de escuta, expressão e liberdade. Um processo que valoriza a singularidade de cada voz e transforma a relação do aluno com a música e consigo mesmo.",2047,"Mais do que aprender a cantar,","expressar sua voz no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer da música."
1879,Cavaco,,"Pequeno no tamanho e gigante no ritmo, o cavaquinho é essencial na música brasileira. As aulas exploram batidas, acordes e repertório, sempre de forma prática e musical.",curso,https://anacamusica.com.br/curso/cavaco/,https://anacamusica.com.br/wp-content/uploads/2026/01/CAVACO-1.webp,Cordas,"harmonia e rítmo","pequeno e com muita presença","o som do brasil",2018,"som em movimento","A linguagem musical do cavaco","O cavaquinho é um instrumento pequeno no tamanho, mas enorme em presença.","Muito ligado ao samba, ao choro e à música brasileira, ele é conhecido por seu som brilhante, rítmico e cheio de personalidade, sendo peça fundamental em rodas, grupos e formações populares.

Tocar cavaco desenvolve ritmo, precisão, escuta musical e senso de conjunto. Por ser um instrumento harmônico e rítmico ao mesmo tempo, ele ajuda o aluno a entender a música de forma prática, sentindo o groove e o balanço desde os primeiros acordes.",2037,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas de cavaco exploram batidas, acordes, levadas e repertório, sempre conectadas aos estilos que fazem sentido para o aluno. O aprendizado acontece tocando, experimentando e construindo repertório de forma gradual, fortalecendo a segurança e a musicalidade.

Mais do que aprender um instrumento, tocar cavaco no Anacã é entrar em contato com a música brasileira de forma viva, coletiva e cheia de ritmo, valorizando o prazer de tocar e o tempo de cada aluno.",2046,"Mais do que aprender um instrumento,","tocar cavaco no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1881,"Flauta Doce",,"A flauta doce é uma excelente porta de entrada para a música. As aulas desenvolvem melodia, respiração e leitura musical, com aprendizado leve, gradual e prazeroso.",curso,https://anacamusica.com.br/curso/flauta-doce/,https://anacamusica.com.br/wp-content/uploads/2026/01/flauta-doce-1.webp,Sopro,"som e expressão","melodia e suavidade","o som que encanta",2019,"som em movimento","A linguagem musical da flauta doce","A flauta doce é um instrumento acessível, expressivo e muito presente no início da formação musical.","Seu som suave e direto permite um contato rápido com a melodia, sendo ideal para desenvolver escuta, afinação e coordenação respiratória.

Tocar flauta doce ajuda o aluno a compreender frases musicais, ritmo e leitura de forma clara e prática. É um excelente instrumento para quem está começando ou deseja fortalecer a base musical.",2036,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas de flauta doce partem de músicas simples e evoluem gradualmente, sempre valorizando o prazer de tocar e a construção de repertório de forma natural.

Mais do que um primeiro instrumento, a flauta doce no Anacã é uma porta de entrada sensível e musical para o universo da música.",2045,"Mais do que aprender um instrumento,","tocar flauta no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1883,"Flauta Transversal",,"Elegante e expressiva, a flauta transversal desenvolve respiração, afinação e sensibilidade musical. As aulas unem técnica e repertório, sempre conectadas aos interesses do aluno.",curso,https://anacamusica.com.br/curso/flauta-transversal/,https://anacamusica.com.br/wp-content/uploads/2026/01/Flauta-Transversal-1.webp,Sopro,sensibilidade,"elegância e expressão","Som leve e marcante",2020,"som em movimento","A linguagem musical da flauta transversal","A flauta transversal é um instrumento elegante e expressivo, muito presente na música clássica, popular e contemporânea.","Seu som leve e ao mesmo tempo marcante permite explorar diferentes cores e intensidades musicais.

O estudo da flauta transversal desenvolve respiração, controle corporal, afinação e musicalidade. É um instrumento que exige escuta atenta e precisão, fortalecendo a relação do aluno com a melodia.",2035,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas exploram técnica, repertório e interpretação, sempre conectadas aos interesses musicais do aluno.

Tocar flauta transversal no Anacã é desenvolver sensibilidade, controle e expressão musical com leveza e profundidade.",2044,"Mais do que aprender um instrumento,","tocar flauta transversal no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1885,Guitarra,,"Versátil e cheia de personalidade, a guitarra permite explorar timbres e estilos.",curso,https://anacamusica.com.br/curso/guitarra/,https://anacamusica.com.br/wp-content/uploads/2026/01/Guitarra-1.webp,Cordas,"diferentes expressões","versatilidade e personalidade","Som que ocupa espaço",2021,"som em movimento","A linguagem musical da guitarra","A guitarra é um instrumento versátil e cheio de personalidade.","Presente em estilos como rock, pop, blues, jazz e música brasileira, ela permite explorar timbres, efeitos e diferentes formas de expressão.

Estudar guitarra desenvolve coordenação, percepção harmônica, ritmo e criatividade. É um instrumento que estimula a identidade musical e a experimentação sonora.",2034,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas de guitarra partem das músicas que o aluno gosta, trabalhando riffs, acordes, solos e improvisação de forma gradual.

Mais do que técnica, tocar guitarra no Anacã é encontrar sua própria sonoridade e se expressar com liberdade.",2043,"Mais do que aprender um instrumento,","tocar guitarra no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1887,Piano,,"O piano é um dos instrumentos mais completos da música. As aulas desenvolvem coordenação, escuta e compreensão musical, sempre a partir da prática e da construção de repertório.",curso,https://anacamusica.com.br/curso/piano/,https://anacamusica.com.br/wp-content/uploads/2026/01/PIANO-1.webp,Teclas,"som e expressão","melodia, harmonia e rítmo","Som completo",2022,"som em movimento","A linguagem musical do piano","O piano é um dos instrumentos mais completos da música. ","Presente em diversos estilos, ele permite explorar melodia, harmonia e ritmo de forma clara e integrada.

Estudar piano facilita a compreensão musical, a coordenação entre as mãos e o desenvolvimento da escuta.",2033,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas partem da prática e da construção de repertório, sempre conectadas aos interesses do aluno.

Tocar piano no Anacã é desenvolver musicalidade de forma consistente e prazerosa.",2059,"Mais do que aprender um instrumento,","tocar piano no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1890,Saxofone,,"Expressivo e marcante, o saxofone permite grande liberdade musical. As aulas trabalham técnica, respiração, improvisação e repertório de forma progressiva.",curso,https://anacamusica.com.br/curso/saxofone/,https://anacamusica.com.br/wp-content/uploads/2026/01/saxofone-1.webp,Sopro,"som e expressão","expressivo e marcante","Som que ocupa espaço",2023,"som em movimento","A linguagem musical do saxofone","O saxofone é um instrumento expressivo e marcante, muito presente no jazz, na música brasileira, no pop e na música instrumental.","Seu estudo desenvolve respiração, afinação, escuta e interpretação, permitindo grande liberdade de expressão.
",2032,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas exploram técnica, improvisação e repertório de forma progressiva.

Tocar saxofone no Anacã é encontrar voz, identidade e expressão musical.",2042,"Mais do que aprender um instrumento,","tocar saxofone no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1892,Violão,,"Versátil e presente em inúmeros estilos, o violão é ideal para criar e acompanhar músicas. As aulas partem do repertório do aluno, desenvolvendo harmonia, ritmo e autonomia musical.",curso,https://anacamusica.com.br/curso/violao/,https://anacamusica.com.br/wp-content/uploads/2026/01/violão-1.webp,Cordas,"som e expressão","popular e versátil","Som que ocupa espaço",2025,"som em movimento","A linguagem musical do violão","O violão é um dos instrumentos mais populares e versáteis da música.","Presente em inúmeros estilos, ele acompanha, cria e sustenta canções.

Seu estudo desenvolve harmonia, ritmo, coordenação e autonomia musical.",2030,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas de violão partem das músicas que fazem sentido para o aluno.

Tocar violão no Anacã é criar conexão, repertório e prazer em tocar.",2040,"Mais do que aprender um instrumento,","tocar violão no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1893,Violino,,"Expressivo e delicado, o violino desenvolve escuta, precisão e sensibilidade musical. As aulas trabalham técnica e musicalidade de forma gradual e personalizada.",curso,https://anacamusica.com.br/curso/violino/,https://anacamusica.com.br/wp-content/uploads/2026/01/violino-1.webp,Cordas,"som e expressão","delicado e preciso","Som que ocupa espaço",2026,"som em movimento","A linguagem musical do violino","O violino é um instrumento expressivo e delicado, presente na música clássica, popular e contemporânea.","Seu estudo desenvolve escuta, precisão, coordenação e sensibilidade musical.
",2029,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas trabalham técnica e musicalidade de forma gradual.

Tocar violino no Anacã é desenvolver expressão e profundidade musical.",2039,"Mais do que aprender um instrumento,","tocar violino no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1894,Violoncelo,,"Com som profundo e envolvente, o violoncelo é altamente expressivo. As aulas exploram postura, técnica, repertório e interpretação, respeitando o tempo de cada aluno.",curso,https://anacamusica.com.br/curso/violoncelo/,https://anacamusica.com.br/wp-content/uploads/2026/01/VIOLONCELO-1.webp,Cordas,"som e expressão","profundo e envolvente","Som que ocupa espaço",2027,"som em movimento","A linguagem musical do violoncelo","O violoncelo é um instrumento de som profundo e envolvente, conhecido por sua expressividade e presença emocional.","Estudar violoncelo desenvolve escuta, postura, coordenação e interpretação.",2028,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas exploram repertório, técnica e expressão musical de forma progressiva.

Tocar violoncelo no Anacã é viver a música com profundidade e sensibilidade.",2038,"Mais do que aprender um instrumento,","tocar violoncelo no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
1895,Ukulele,,"Leve, acessível e divertido, o ukulele permite começar a tocar rapidamente. As aulas desenvolvem ritmo, harmonia e musicalidade de forma simples e prazerosa.",curso,https://anacamusica.com.br/curso/ukulele/,https://anacamusica.com.br/wp-content/uploads/2026/01/ukulele-1.webp,Cordas,"som e expressão","leveza, diversão e alegria","Som que eleva",2024,"som em movimento","A linguagem musical do ukulele","O ukulele é um instrumento leve, divertido e acessível.","Seu som alegre e direto permite que o aluno comece a tocar rapidamente.

Ele desenvolve ritmo, harmonia e coordenação de forma simples e prazerosa.",2031,"A música como ponto de partida","Prática, teoria e repertório integrados desde a primeira aula","No Anacã Música, o aprendizado é personalizado e construído em conjunto entre aluno e professor, respeitando o ritmo e os objetivos de cada pessoa.","As aulas são práticas desde a primeira experiência com o instrumento, com a teoria surgindo de forma leve e integrada à prática. Contamos com professores de diferentes perfis e estilos, para que cada aluno encontre a abordagem com a qual mais se identifica.

As aulas partem de músicas conhecidas e evoluem gradualmente.

Tocar ukulele no Anacã é aprender música com leveza e alegria.",2041,"Mais do que aprender um instrumento,","tocar ukulele no Anacã é viver a música de forma autêntica","respeitando o tempo de cada um e valorizando o prazer de tocar."
2091,"Kids & Teens","<h6>KIDS &amp; TEENS</h6>				
					<h2>Crescendo com a música!</h2>				
					<h6>QUEM SOMOS</h6>				
					<h2>Aqui, aprender é uma alegria.</h2>				
					<h4>Música, expressão e diversão em um só lugar.</h4>				
		<p>Na Anacã Música, as crianças aprendem de forma leve<br />e envolvente. Além do aprendizado musical, desenvolvem coordenação, concentração e criatividade em um ambiente acolhedor. As aulas unem técnica, expressão e emoção, trazendo a música para o dia a dia de forma divertida e significativa.</p>		
					<h6>Niveis das aulas</h6>				
					<h2>Música para cada
fase da infância.</h2>				
															<img width=""800"" height=""534"" src=""https://anacamusica.com.br/wp-content/uploads/2026/02/musicalização-para-bebês-1024x683.webp"" alt="""" srcset=""https://anacamusica.com.br/wp-content/uploads/2026/02/musicalização-para-bebês-1024x683.webp 1024w, https://anacamusica.com.br/wp-content/uploads/2026/02/musicalização-para-bebês-300x200.webp 300w, https://anacamusica.com.br/wp-content/uploads/2026/02/musicalização-para-bebês-768x512.webp 768w, https://anacamusica.com.br/wp-content/uploads/2026/02/musicalização-para-bebês.webp 1200w"" sizes=""(max-width: 800px) 100vw, 800px"" />															
					<h4>Musicalização para bebês</h4>				
					<h6>6 meses a 3 anos</h6>				
		<p>As aulas são pensadas para estimular o desenvolvimento cognitivo, motor e emocional, sempre com a participação dos responsáveis.</p>		
															<img width=""800"" height=""534"" src=""https://anacamusica.com.br/wp-content/uploads/2026/02/instrumentalizacao-infantil-1024x683.webp"" alt="""" srcset=""https://anacamusica.com.br/wp-content/uploads/2026/02/instrumentalizacao-infantil-1024x683.webp 1024w, https://anacamusica.com.br/wp-content/uploads/2026/02/instrumentalizacao-infantil-300x200.webp 300w, https://anacamusica.com.br/wp-content/uploads/2026/02/instrumentalizacao-infantil-768x512.webp 768w, https://anacamusica.com.br/wp-content/uploads/2026/02/instrumentalizacao-infantil.webp 1200w"" sizes=""(max-width: 800px) 100vw, 800px"" />															
					<h3>Instrumentalização infantil </h3>				
					<h6>3 a 7 anos</h6>				
		<p>As aulas estimulam coordenação motora, atenção, expressão e socialização, sempre respeitando a fase de desenvolvimento de cada criança.</p>		
															<img width=""800"" height=""534"" src=""https://anacamusica.com.br/wp-content/uploads/2026/02/area-jovem-1024x683.webp"" alt="""" srcset=""https://anacamusica.com.br/wp-content/uploads/2026/02/area-jovem-1024x683.webp 1024w, https://anacamusica.com.br/wp-content/uploads/2026/02/area-jovem-300x200.webp 300w, https://anacamusica.com.br/wp-content/uploads/2026/02/area-jovem-768x512.webp 768w, https://anacamusica.com.br/wp-content/uploads/2026/02/area-jovem.webp 1200w"" sizes=""(max-width: 800px) 100vw, 800px"" />															
					<h3>Curso de área</h3>				
					<h6>A partir de 7 anos</h6>				
		<p>O curso transforma o instrumento ou o canto escolhido na principal forma de expressão musical do aluno.</p>		
					<h6>NOSSA ESTRUTURA</h6>				
					<h2>DESCUBRA O ANACÃ</h2>				
		<p>O Anacã Música foi pensado para que cada aluno se sinta em casa enquanto descobre e desenvolve sua relação com a música. Nossa escola conta com 14 salas multiuso e uma programação com mais <br />de 11 cursos livres, atendendo todas as idades e níveis de experiência.</p>","A musicalização infantil é o primeiro contato da criança com o universo da música. Por meio de jogos, brincadeiras, movimento e escuta, a criança desenvolve percepção sonora, ritmo e criatividade.",curso,https://anacamusica.com.br/curso/kids-teens/,https://anacamusica.com.br/wp-content/uploads/2026/02/musicalizacao-infantil.webp,"Musicalização baby|Musicalização infantil",,,,,,,,,,,,,,,,,
